k,mention_id,fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,filing_date,report_date,local_text_path,sentence_index,window_start,window_end,ai_keyword,window_text,token_count,seed_efficiency_productivity_count,seed_negative_sensitive_count,seed_content_generation_count,seed_privacy_data_security_count,seed_infrastructure_platform_count,seed_efficiency_productivity_count,seed_negative_sensitive_count,seed_content_generation_count,seed_privacy_data_security_count,seed_infrastructure_platform_count,topic_id,topic_terms
5,AMZN_2023_58,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,58,57,59,machine learning,"We earn fixed fees, a percentage of sales, per-unit activity fees, interest, or some combination thereof, for our seller programs. Developers and Enterprises We serve developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services. Content Creators We offer programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content.",62,0,2,2,0,1,0,2,2,0,1,3,ai; cloud; software; solutions; services; customers; platform; data; computing; intel; products; infrastructure; nvidia; applications; edge
5,AMZN_2023_150,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,150,149,151,artificial intelligence,"Competition continues to intensify, including with the development of new business models and the entry of new and well-funded competitors, and as our competitors enter into business combinations or alliances and established companies in other market segments expand to become competitive with our business. In addition, new and enhanced technologies, including search, web and infrastructure computing services, practical applications of artificial intelligence and machine learning, digital content, and electronic devices continue to increase our competition. The internet facilitates competitive entry and comparison shopping, which enhances the ability of new, smaller, or lesser known businesses to compete against us.",58,0,1,1,0,2,0,1,1,0,2,1,products; including; business; services; ai; new; revenue; changes; capital; technology; market; operations; financial; growth; continue
5,AMZN_2023_206,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,206,205,207,artificial intelligence,"These risks have been amplified by the increase in third parties whose sole or primary business is to assert such claims. In addition, our and our customers’ use of artificial intelligence may result in increased claims of infringement or other claims, including those based on unauthorized use of third-party technology or content. Our digital content offerings depend in part on effective digital rights management technology to control access to digital content.",44,0,3,3,1,0,0,3,3,1,0,4,ai; use; risks; technologies; use ai; business; legal; regulatory; laws; artificial intelligence; artificial; intelligence; products; including; data
5,AMZN_2023_224,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,224,223,225,artificial intelligence,"A softening of demand, whether caused by changes in customer preferences or a weakening of the U.S. or global economies, may result in decreased revenue or growth. Our sales and operating results will also fluctuate for many other reasons, including due to factors described elsewhere in this section and the following: • our ability to retain and increase sales to existing customers, attract new customers, and satisfy our customers’ demands; • our ability to retain and expand our network of sellers; • our ability to offer products on favorable terms, manage inventory, and fulfill orders; • the introduction of competitive stores, websites, products, services, price decreases, or improvements; 9 Table of Contents • changes in usage or adoption rates of the internet, e-commerce, electronic devices, and web services, including outside the U.S.; • timing, effectiveness, and costs of expansion and upgrades of our systems and infrastructure; • the success of our geographic, service, and product line expansions; • the extent to which we finance, and the terms of any such financing for, our current operations and future growth; • the outcomes of legal proceedings and claims, which may include significant monetary damages or injunctive relief and could have a material adverse impact on our operating results; • variations in the mix of products and services we sell; • variations in our level of merchandise and vendor returns; • the extent to which we offer fast and free delivery, continue to reduce prices worldwide, and provide additional benefits to our customers; • factors affecting our reputation or brand image (including any actual or perceived inability to achieve our goals or commitments, whether related to sustainability, customers, employees, or other topics), and public perceptions regarding social or ethical issues related to our development and use of artificial intelligence and machine learning technologies, products, and services; • the extent to which we invest in technology and infrastructure, fulfillment, and other expense categories; • availability of and increases in the prices of transportation (including fuel), resources such as land, water, and energy, commodities like paper and packing supplies and hardware products, and technology infrastructure products, including as a result of inflationary pressures; • constrained labor markets, which increase our payroll costs; • the extent to which operators of the networks between our customers and our stores successfully charge fees to grant our customers unimpaired and unconstrained access to our online services; • our ability to collect amounts owed to us when they become due; • the extent to which new and existing technologies, or industry trends, restrict online advertising or affect our ability to customize advertising or otherwise tailor our product and service offerings; • the extent to which use of our services is affected by spyware, viruses, phishing and other spam emails, denial of service attacks, data theft, computer intrusions, outages, and similar events; • the extent to which we fail to maintain our unique culture of innovation, customer obsession, and long-term thinking, which has been critical to our growth and success; • disruptions from natural or human-caused disasters (including public health crises) or extreme weather (including as a result of climate change), geopolitical events and security issues (including terrorist attacks, armed hostilities, and political conflicts, including those involving China), labor or trade disputes (including restrictive governmental actions impacting us, our customers, and our third-party sellers and suppliers in China or other foreign countries), and similar events; and • potential negative impacts of climate change, including: increased operating costs due to more frequent extreme weather events or climate-related changes, such as rising temperatures and water scarcity; increased investment requirements associated with the transition to a low-carbon economy; decreased demand for our products and services as a result of changes in customer behavior; increased compliance costs due to more extensive and global regulations and third-party requirements; and reputational damage resulting from perceptions of our environmental impact. We Face Risks Related to Successfully Optimizing and Operating Our Fulfillment Network and Data Centers Failures to adequately predict customer demand and consumer spending patterns or otherwise optimize and operate our fulfillment network and data centers successfully from time to time result in excess or insufficient fulfillment or data center capacity, service interruptions, increased costs, and impairment charges, any of which could materially harm our business.",432,6,8,1,10,4,6,8,1,10,4,0,data; laws; regulations; including; privacy; business; protection; laws regulations; information; regulatory; subject; products; changes; requirements; related
5,AMZN_2023_263,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,263,262,264,artificial intelligence,"Decisions by our current suppliers to limit or stop selling or licensing merchandise, content, components, or services to us on acceptable terms, or delay delivery, including as a result of one or more supplier bankruptcies due to poor economic conditions, as a result of natural or human-caused disasters (including public health crises) or geopolitical events, or for other reasons, may result in our being unable to procure alternatives from other suppliers in a timely and efficient manner and on acceptable terms, or at all. For example, we rely on a limited group of suppliers for semiconductor products, including products related to artificial intelligence infrastructure such as graphics processing units. Constraints on the availability of these products could adversely affect our ability to develop and operate artificial intelligence technologies, products, or services.",77,0,1,1,0,1,0,1,1,0,1,0,data; laws; regulations; including; privacy; business; protection; laws regulations; information; regulatory; subject; products; changes; requirements; related
5,AMZN_2023_264,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,264,263,265,artificial intelligence,"For example, we rely on a limited group of suppliers for semiconductor products, including products related to artificial intelligence infrastructure such as graphics processing units. Constraints on the availability of these products could adversely affect our ability to develop and operate artificial intelligence technologies, products, or services. In addition, violations by our suppliers or other vendors of applicable laws, regulations, contractual terms, intellectual property rights of others, or our Supply Chain Standards, as well as products or practices regarded as unethical, unsafe, or hazardous, could expose us to claims, damage our reputation, limit our growth, and negatively affect our operating results.",63,0,0,0,0,1,0,0,0,0,1,4,ai; use; risks; technologies; use ai; business; legal; regulatory; laws; artificial intelligence; artificial; intelligence; products; including; data
5,AMZN_2023_304,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,304,303,305,artificial intelligence,"Volatility in our stock price could adversely affect our business and financing opportunities and force us to increase our cash compensation to employees or grant larger stock awards than we have historically, which could hurt our operating results or reduce the percentage ownership of our existing stockholders, or both. Legal and Regulatory Risks Government Regulation Is Evolving and Unfavorable Changes Could Harm Our Business We are subject to general business regulations and laws, as well as regulations and laws specifically governing the internet, physical, e-commerce, and omnichannel retail, digital content, web services, electronic devices, advertising, artificial intelligence technologies and services, and other products and services that we offer or sell. These regulations and laws cover taxation, privacy, data use, data protection, data security, data localization, network security, consumer protection, pricing, content, copyrights, distribution, transportation, mobile communications, electronic device certification, electronic waste, energy consumption, environmental and climate-related regulation, electronic contracts and other communications, competition, employment, trade and protectionist measures, web services, the provision of online payment services, registration, licensing, and information reporting requirements, unencumbered internet access to our services or access to our facilities, the design and operation of websites, health, safety, and sanitation standards, the characteristics, legality, and quality of products and services, product labeling, the commercial operation of unmanned aircraft systems, healthcare, and other matters.",149,0,7,2,11,1,0,7,2,11,1,0,data; laws; regulations; including; privacy; business; protection; laws regulations; information; regulatory; subject; products; changes; requirements; related
5,AMZN_2023_306,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,306,305,307,artificial intelligence,"These regulations and laws cover taxation, privacy, data use, data protection, data security, data localization, network security, consumer protection, pricing, content, copyrights, distribution, transportation, mobile communications, electronic device certification, electronic waste, energy consumption, environmental and climate-related regulation, electronic contracts and other communications, competition, employment, trade and protectionist measures, web services, the provision of online payment services, registration, licensing, and information reporting requirements, unencumbered internet access to our services or access to our facilities, the design and operation of websites, health, safety, and sanitation standards, the characteristics, legality, and quality of products and services, product labeling, the commercial operation of unmanned aircraft systems, healthcare, and other matters. It is not clear how 14 Table of Contents existing laws governing issues such as property ownership, libel, privacy, data use, data protection, data security, data localization, network security, and consumer protection apply to aspects of our operations such as the internet, e-commerce, digital content, web services, electronic devices, advertising, and artificial intelligence technologies and services. A large number of jurisdictions regulate our operations, and the extent, nature, and scope of such regulations is evolving and expanding as the scope of our businesses expand.",139,0,9,2,20,1,0,9,2,20,1,0,data; laws; regulations; including; privacy; business; protection; laws regulations; information; regulatory; subject; products; changes; requirements; related
5,AMZN_2023_315,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,315,314,316,artificial intelligence,"The media, political, and regulatory scrutiny we face, which may continue to increase, amplifies these risks. Claims, Litigation, Government Investigations, and Other Proceedings May Adversely Affect Our Business and Results of Operations As an innovative company offering a wide range of consumer and business products and services around the world, we are regularly subject to actual and threatened claims, litigation, reviews, investigations, and other proceedings, including proceedings by governments and regulatory authorities, involving a wide range of issues, including patent and other intellectual property matters, taxes, labor and employment (including the characterization of delivery drivers), competition and antitrust, privacy, data use, data protection, data security, data localization, network security, consumer protection, commercial disputes, goods and services offered by us and by third parties (including artificial intelligence technologies and services), and other matters. The number and scale of these proceedings have increased over time as our businesses have expanded in scope and geographic reach, as our products, services, and operations have become more complex and available to, and used by, more people, and as governments and regulatory authorities seek to regulate us on a pre-emptive basis.",113,1,3,0,9,0,1,3,0,9,0,0,data; laws; regulations; including; privacy; business; protection; laws regulations; information; regulatory; subject; products; changes; requirements; related
5,AMZN_2023_417,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,417,416,418,artificial intelligence,"We seek to invest efficiently in several areas of technology and infrastructure, including AWS, and expansion of new and existing product categories and service offerings, as well as in infrastructure to enhance the customer experience and improve our process efficiencies. We believe that advances in technology, specifically the speed and reduced cost of processing power, data storage and analytics, improved wireless connectivity, and the practical applications of artificial intelligence and machine learning, will continue to improve users’ experience on the internet and increase its ubiquity in people’s lives. To best take advantage of these continued advances in technology, we are investing in AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services to developers and enterprises of all sizes.",80,2,1,0,2,3,2,1,0,2,3,3,ai; cloud; software; solutions; services; customers; platform; data; computing; intel; products; infrastructure; nvidia; applications; edge
5,AMZN_2023_418,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,418,417,419,machine learning,"We believe that advances in technology, specifically the speed and reduced cost of processing power, data storage and analytics, improved wireless connectivity, and the practical applications of artificial intelligence and machine learning, will continue to improve users’ experience on the internet and increase its ubiquity in people’s lives. To best take advantage of these continued advances in technology, we are investing in AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services to developers and enterprises of all sizes. We are also investing in initiatives to build and deploy innovative and efficient software and electronic devices as well as other initiatives including the development of a satellite network for global broadband service and autonomous vehicles for ride-hailing services.",80,1,0,0,1,1,1,0,0,1,1,3,ai; cloud; software; solutions; services; customers; platform; data; computing; intel; products; infrastructure; nvidia; applications; edge
5,AMZN_2023_663,1,Amazon,AMZN,0001018724,2023,2024-02-02,2023-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,663,662,664,machine learning,"We offer programs that enable sellers to grow their businesses, sell their products in our stores, and fulfill orders using our services, and programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. We serve developers and enterprises of all sizes through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services. We also manufacture and sell electronic devices.",55,0,1,1,0,1,0,1,1,0,1,3,ai; cloud; software; solutions; services; customers; platform; data; computing; intel; products; infrastructure; nvidia; applications; edge
5,AMZN_2024_58,1,Amazon,AMZN,0001018724,2024,2025-02-07,2024-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2024_AMZN_10k.txt,58,57,59,machine learning,"We earn fixed fees, a percentage of sales, per-unit activity fees, interest, or some combination thereof, for our seller programs. Developers and Enterprises We serve developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services. Content Creators We offer programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content.",62,0,2,2,0,1,0,2,2,0,1,3,ai; cloud; software; solutions; services; customers; platform; data; computing; intel; products; infrastructure; nvidia; applications; edge
5,AMZN_2024_63,1,Amazon,AMZN,0001018724,2024,2025-02-07,2024-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2024_AMZN_10k.txt,63,62,64,artificial intelligence,"The worldwide marketplace in which we compete is evolving rapidly and intensely competitive, and we face a broad array of competitors from many different industry sectors around the world. Our current and potential competitors include: (1) physical, e-commerce, and omnichannel retailers, publishers, vendors, distributors, manufacturers, and producers of the products we offer and sell to consumers and businesses; (2) publishers, producers, and distributors of physical, digital, and interactive media of all types and all distribution channels; (3) web search engines, comparison shopping websites, social networks, web portals, virtual assistants, and other online and app-based means of discovering, using, or acquiring goods and services, either directly or in collaboration with other retailers; (4) companies that provide e-commerce services, including website development and hosting, omnichannel sales, inventory and supply chain management, advertising, fulfillment, customer service, and payment processing; (5) companies that provide fulfillment and logistics services for themselves or for third parties, whether online or offline; (6) companies that provide information technology services or products, including on-premises or cloud-based infrastructure, tools and services relating to artificial intelligence, and other services; (7) companies that design, manufacture, market, or sell consumer electronics, communications, and other electronic devices and services; (8) companies that sell grocery products online and in physical stores; (9) companies that provide advertising services, whether in digital or other formats; and (10) providers of virtual or in-person healthcare services. We believe that the principal competitive factors in our retail businesses include selection, price, and convenience, including fast and reliable fulfillment.",155,0,1,0,1,1,0,1,0,1,1,1,products; including; business; services; ai; new; revenue; changes; capital; technology; market; operations; financial; growth; continue
5,AMZN_2024_134,1,Amazon,AMZN,0001018724,2024,2025-02-07,2024-12-31,data/processed/sec_10k_text/top100/chunk_01/AMZN/2024_AMZN_10k.txt,134,133,135,AI,"Huttenlocher 66 Dean, MIT Schwarzman College of Computing Andrew Y. Ng 48 Managing General Partner, AI Fund, L.P. Indra K.",12,0,0,0,0,0,0,0,0,0,0,3,ai; cloud; software; solutions; services; customers; platform; data; computing; intel; products; infrastructure; nvidia; applications; edge
